Family_No,g_score,gf_score,gc_score,g_score_family,gf_score_family,gc_score_family,Age,Gender,Handedness,FD_mean,Spikes_mean
363,-0.258983776218241,-0.0918720177982484,0.0105914925162078,-0.459061150143166,0.0396283340049552,-0.482899793002702,32,0,100,0.103949569868242,0.611111111111111
363,-1.1303766973814,-0.255819687378632,-0.897508866079147,-0.459061150143166,0.0396283340049552,-0.482899793002702,24,1,100,0.0551366199800845,0.111111111111111
35,0.215979807334615,-0.404655364609721,0.479242156374992,-0.429015014466762,-0.957653869724001,0.339920232058837,28,1,95,0.0958083423890773,1.66666666666667
35,-1.07400983626814,-1.51065237483828,0.200598307742683,-0.429015014466762,-0.957653869724001,0.339920232058837,23,0,90,0.0681512012630845,11.8888888888889
175,0.240465247177211,0.145492091624797,-0.500405264214899,-0.426513184205649,-0.293662050117492,-0.625020190718246,30,0,90,0.0726595456998,2.66666666666667
175,-1.09349161558851,-0.732816191859782,-0.749635117221593,-0.426513184205649,-0.293662050117492,-0.625020190718246,23,0,100,0.0511542402448612,1.33333333333333
374,-1.16862812959862,-0.849694715317153,0.315765790283981,-0.424212463592153,-0.402435819286518,0.307405942745166,26,0,50,0.0802091332048952,5.72222222222222
374,0.320203202414313,0.0448230767441163,0.29904609520635,-0.424212463592153,-0.402435819286518,0.307405942745166,29,1,95,0.042766687991606,5.33333333333333
217,-1.24954792914051,-1.19937201223588,-1.08979672460106,-0.423879758522331,-0.777171895657167,0.136327579916455,28,0,75,0.0741814934638126,5.88888888888889
217,0.401788412095848,-0.354971779078455,1.36245188443397,-0.423879758522331,-0.777171895657167,0.136327579916455,33,0,100,0.121907615087185,5.5
371,-0.432275596042953,-0.287955939303779,-1.07896711739395,-0.41898835363431,-0.205501872649717,-1.20071733379935,31,1,50,0.0848201652920979,4.27777777777778
371,-0.405701111225667,-0.123047805995654,-1.32246755020476,-0.41898835363431,-0.205501872649717,-1.20071733379935,30,1,70,0.0873550148793738,0.111111111111111
378,-0.410499923247742,-0.335643721975006,0.0192186216758027,-0.410499923247742,-0.335643721975006,0.0192186216758027,28,1,65,0.0460921187209639,0.888888888888889
124,-0.91296363526472,-0.152412890593363,-0.590429369509457,-0.405820813967065,0.0855835467021255,0.222375016961292,30,1,80,0.0577779293871886,1.66666666666667
124,0.10132200733059,0.323579983997614,1.03517940343204,-0.405820813967065,0.0855835467021255,0.222375016961292,34,1,80,0.0747188767569498,2.83333333333333
385,-0.377518702591516,0.502918861472833,-0.137503454082549,-0.377518702591516,0.502918861472833,-0.137503454082549,29,1,-20,0.104169690657187,2.55555555555556
275,-0.277943421479357,-0.203199137948849,0.0435227746925732,-0.363979874054425,-0.0960539416525752,0.21261324039342,26,0,95,0.132825115190505,9.94444444444444
275,-0.450016326629492,0.0110912546436987,0.381703706094266,-0.363979874054425,-0.0960539416525752,0.21261324039342,24,0,70,0.111903408372302,0.111111111111111
233,0.11237876397507,0.481397522262918,-0.616602795547284,-0.354176938953696,0.0804751155893967,-0.524068922540214,27,0,90,0.0460876699943039,4.05555555555556
233,0.277100798058751,0.58511293353894,-0.155493199710405,-0.354176938953696,0.0804751155893967,-0.524068922540214,22,0,90,0.0521244949794388,0.333333333333333
233,-1.45201037889491,-0.825085109033668,-0.800110772362953,-0.354176938953696,0.0804751155893967,-0.524068922540214,27,0,95,0.0867285461498323,11.6666666666667
69,0.202359950084554,-0.275450696723583,-0.789417241498751,-0.349547183339963,-0.0335453997298967,-0.722148733486435,30,0,90,0.10192224636825,0.388888888888889
69,-1.27183476575335,-0.286446260267196,-1.18892070636292,-0.349547183339963,-0.0335453997298967,-0.722148733486435,31,0,100,0.0699504799661874,0.388888888888889
69,0.0208332656489063,0.461260757801089,-0.188108252597633,-0.349547183339963,-0.0335453997298967,-0.722148733486435,29,1,65,0.0473229648742134,1.22222222222222
349,0.415075641572735,1.60934720293806,-0.610628138017041,-0.347873626424147,0.653752746102031,-1.16829989811104,32,1,55,0.0580036700142578,3.27777777777778
349,-1.11082289442103,-0.301841710733997,-1.72597165820504,-0.347873626424147,0.653752746102031,-1.16829989811104,28,1,95,0.0750057721661865,1.94444444444444
168,0.095994204821845,0.0399459902712024,-0.556279282995292,-0.346342828141519,-0.453711104534603,-0.525047861731159,35,0,-70,0.0872169791111103,1.22222222222222
168,-0.920327763917502,-1.27864182088067,-0.760741458013223,-0.346342828141519,-0.453711104534603,-0.525047861731159,26,0,90,0.0549161620550183,1.05555555555556
168,-0.214694925328899,-0.12243748299434,-0.258122844184961,-0.346342828141519,-0.453711104534603,-0.525047861731159,34,0,100,0.0982740946044543,1.16666666666667
240,0.299282683572993,0.100933116067114,-0.485321052823821,-0.341326999892753,-0.146848082067425,-0.648396458417301,31,1,85,0.0513925686239996,0.111111111111111
240,-0.981936683358499,-0.394629280201963,-0.811471864010782,-0.341326999892753,-0.146848082067425,-0.648396458417301,35,0,70,0.0885299716995872,0.722222222222222
352,-0.338302805236624,-0.262447961814776,-0.422378471457943,-0.338302805236624,-0.262447961814776,-0.422378471457943,34,0,100,0.0768241817679025,10.2222222222222
373,-0.331857945484995,0.699898460298774,-0.441475874834771,-0.331857945484995,0.699898460298774,-0.441475874834771,27,0,55,0.0851912755162458,0.388888888888889
288,-0.303301195986508,-0.0908730067859617,-1.16670687397693,-0.303301195986508,-0.0908730067859617,-1.16670687397693,32,0,100,0.100581313598276,0.833333333333333
115,0.0563895813719312,-0.700509214646922,-0.0364043736029416,-0.302839958960427,-0.874305714128142,0.0760862890320792,33,1,60,0.0872717478708122,10.5
115,-0.380637317029696,-0.338946719969785,0.6441196177779,-0.302839958960427,-0.874305714128142,0.0760862890320792,26,0,60,0.0763421687097281,21.7777777777778
115,-0.584272141223516,-1.58346120776772,-0.379456377078721,-0.302839958960427,-0.874305714128142,0.0760862890320792,31,0,100,0.0608628317897282,7.44444444444444
131,-0.642078880943898,-1.04401720317969,-1.5861654512796,-0.295770306729746,-0.621953589677778,-1.34378519372663,29,1,100,0.0621285037956136,15.4444444444444
131,0.0505382674844056,-0.199889976175866,-1.10140493617366,-0.295770306729746,-0.621953589677778,-1.34378519372663,24,0,60,0.104945312770964,13.6666666666667
262,-1.11487124331066,-0.807607181656764,0.0859305703891524,-0.286307371279308,-0.248730793734474,0.317281140342679,23,0,100,0.0818370478875335,2.5
262,0.744889610805602,1.059028951597,1.57527422705667,-0.286307371279308,-0.248730793734474,0.317281140342679,29,1,65,0.067709836954786,1.22222222222222
262,-0.336119561047569,-0.213292058171032,0.0952455630506777,-0.286307371279308,-0.248730793734474,0.317281140342679,34,0,80,0.124813507314808,9.44444444444444
262,-0.439128291564604,-1.0330528867071,-0.487325799125783,-0.286307371279308,-0.248730793734474,0.317281140342679,30,1,100,0.0910010782501012,0.0555555555555555
315,-1.07627986910445,0.208860830599097,-0.495104318058733,-0.259417484400001,0.119322332759892,-0.207140257392056,29,0,80,0.0751544125306972,3.66666666666667
315,0.250636518609038,-0.163963036338944,-0.0183496908881082,-0.259417484400001,0.119322332759892,-0.207140257392056,25,0,60,0.0695475557989327,7.77777777777778
315,0.047390897295409,0.313069204019523,-0.107966763229327,-0.259417484400001,0.119322332759892,-0.207140257392056,32,0,-70,0.119254986741614,0
